                Характеристики  Навыки
От 0 до 5               25         10
От 6 до 10              30         15
От 11 до 15             40         20
От 16 до 20             50         30
От 21 до 25             70         40
От 26 до 30             90         60
От 31 до 35             120        80
От 36 до 40             150        110
От 41 до 45             190        140
От 46 до 50             230        180
От 51 до 55             280        220
От 56 до 60             330        270
От 61 до 65             390        320
От 66 до 70             450        380
70+                     520        440
